,X,Y,Z,azimuth,reflectivity,laser_id,,,,,vertical_angle
138,0.225142,7.08535,-0.6202,182,33,10,,,,,-5
139,0.22288,6.97581,1.35665,183,58,11,,,,,11
140,0.227145,7.07064,-0.370748,184,71,12,,,,,-3
141,0.224781,6.95922,1.6075,185,42,13,,,,,13
142,0.229374,7.0632,-0.123354,186,61,14,,,,,-1
143,0.22548,6.94328,1.86143,186,42,15,,,,,15
144,0.192665,5.68797,-1.52496,194,14,0,,,,,-15
145,0.239244,7.02686,0.122725,195,89,1,,,,,1
146,0.226145,6.60821,-1.52652,196,17,2,,,,,-13
147,0.240382,7.02424,0.36834,196,65,3,,,,,3
148,0.242219,7.04196,-1.36963,197,64,4,,,,,-11
149,0.24121,6.97716,0.610787,198,74,5,,,,,5
150,0.243787,7.01625,-1.11194,199,54,6,,,,,-9
151,0.242822,6.95351,0.854304,200,64,7,,,,,7
152,0.245846,7.00505,-0.860641,201,49,8,,,,,-7
153,0.246068,6.97664,1.10568,202,67,9,,,,,9
154,0.24917,7.0646,-0.618457,202,40,10,,,,,-5
155,0.246255,6.94752,1.35131,203,64,11,,,,,11
156,0.250687,7.03787,-0.369073,204,68,12,,,,,-3
157,0.248166,6.93307,1.60165,205,46,13,,,,,13
158,0.253165,7.03838,-0.122935,206,58,14,,,,,-1
159,0.250019,6.91731,1.8547,207,45,15,,,,,15
160,0.210247,5.67962,-1.52289,212,14,0,,,,,-15
161,0.260352,7.00009,0.122272,213,94,1,,,,,1
162,0.246395,6.59383,-1.52337,214,15,2,,,,,-13
163,0.262101,6.98149,0.366142,215,57,3,,,,,3
164,0.263162,7.00977,-1.36352,215,63,4,,,,,-11
165,0.262302,6.95447,0.60887,216,94,5,,,,,5
166,0.264781,6.98782,-1.10756,217,52,6,,,,,-9
167,0.263307,6.91701,0.849917,218,61,7,,,,,7
168,0.266259,6.96258,-0.855523,219,49,8,,,,,-7
169,0.266012,6.95614,1.10255,219,64,9,,,,,9
170,0.26991,7.02596,-0.615145,220,56,10,,,,,-5
171,0.26649,6.90552,1.3433,221,63,11,,,,,11
172,0.271017,6.99115,-0.366666,222,75,12,,,,,-3
173,0.268884,6905,1.59535,223,46,13,,,,,13
174,0.274182,7.00957,-0.122446,224,57,14,,,,,-1
175,0.269938,6.90109,1.85056,224,46,15,,,,,15
176,0.230384,5.68657,-1.52496,232,14,0,,,,,-15
177,0.283647,6.97117,0.121783,233,91,1,,,,,1
178,0.269012,6.5832,-1.52112,234,17,2,,,,,-13
179,0.284749,6.93863,0.363944,235,55,3,,,,,3
180,0.286341,6.97742,-1.35742,235,64,4,,,,,-11
181,0.285673,6.93162,0.606953,236,82,5,,,,,5
182,0.288028,6.95922,-1.10318,237,59,6,,,,,-9
183,0.28679,6.90018,0.847967,238,63,7,,,,,7
184,0.289319,6.93186,-0.851867,239,49,8,,,,,-7
185,0.289603,6.90973,1.09535,240,60,9,,,,,9
186,0.293933,7.01303,-0.614099,240,69,10,,,,,-5
187,0.289685,6.88297,1.3391,241,59,11,,,,,11
188,0.295166,6.98417,-0.366352,242,71,12,,,,,-3
