Point ID,Points_m_XYZ_0,Points_m_XYZ_1,Points_m_XYZ_2,Points_m_XYZ_Magnitude,adjustedtime,azimuth,distance_m,intensity,laser_id,timestamp,vertical_angle
203,0.329111,6.85171,1.33337,6.988,628248854,275,6.988,70,11,628248854,11
204,0.334393,6.93641,-0.363944,6.954,628248856,276,6.954,50,12,628248856,-3
205,0.329711,6.81457,1.57511,7.002,628248858,277,7.002,45,13,628248858,13
206,0.335965,6.91879,-0.12091,6.928,628248861,278,6.928,55,14,628248861,-1
207,0.330844,6.81334,1.82778,7.062,628248863,278,7.062,48,15,628248863,15
208,0.282619,5.65713,-1.51771,5.864,628248884,286,5.864,14,0,628248884,-15
209,0.345731,6.89629,0.120526,6.906,628248886,287,6.906,86,1,628248886,1
210,0.330848,6.57648,-1.52022,6.758,628248888,288,6.758,14,2,628248888,-13
211,0.346211,6.88184,0.361118,6.9,628248891,288,6.9,57,3,628248891,3
212,0.348327,6.89991,-1.34291,7.038,628248893,289,7.038,66,4,628248893,-11
213,0.345747,6.82514,0.597888,6.86,628248895,290,6.86,85,5,628248895,5
214,0.350093,6.88715,-1.09223,6.982,628248897,291,6.982,61,6,628248897,-9
215,0.348674,6.83571,0.840411,6.896,628248900,292,6.896,66,7,628248900,7
216,0.351593,6.86935,-0.844555,6.93,628248902,293,6.93,41,8,628248902,-7
217,0.349569,6.82981,1.08315,6.924,628248904,293,6.924,63,9,628248904,9
218,0.354701,6.90648,-0.605035,6.942,628248907,294,6.942,63,10,628248907,-5
219,0.351005,6.81131,1.32574,6.948,628248909,295,6.948,63,11,628248909,11
220,0.357882,6.92124,-0.363212,6.94,628248911,296,6.94,81,12,628248911,-3
221,0.352285,6.79002,1.56971,6.978,628248914,297,6.978,46,13,628248914,13
222,0.358866,6.89361,-0.120491,6.904,628248916,298,6.904,63,14,628248916,-1
223,0.354202,6.78121,1.8195,7.03,628248918,299,7.03,45,15,628248918,15
224,0.301994,5.66774,-1.52082,5.876,628248939,305,5.876,14,0,628248939,-15
225,0.366676,6.85916,0.119898,6.87,628248941,306,6.87,93,1,628248941,1
226,0.352238,6.56756,-1.51842,6.75,628248944,307,6.75,14,2,628248944,-13
227,0.368388,6.86869,0.36049,6.888,628248946,307,6.888,57,3,628248946,3
228,0.370151,6.87911,-1.3391,7.018,628248948,308,7.018,66,4,628248948,-11
229,0.367519,6.80804,0.596494,6.844,628248950,309,6.844,94,5,628248950,5
230,0.371327,6.85636,-1.08753,6.952,628248953,310,6.952,54,6,628248953,-9
231,0.369941,6.80875,0.837242,6.87,628248955,311,6.87,67,7,628248955,7
232,0.372642,6.83643,-0.840655,6.898,628248957,312,6.898,40,8,628248957,-7
233,0.370925,6.80495,1.0794,6.9,628248960,312,6.9,66,9,628248960,9
234,0.376406,6.88338,-0.603118,6.92,628248962,313,6.92,67,10,628248962,-5
235,0.371762,6.77678,1.31925,6.914,628248964,314,6.914,63,11,628248964,11
236,0.378307,6.87415,-0.360804,6.894,628248967,315,6.894,66,12,628248967,-3
237,0.373833,6.7713,1.56566,6.96,628248969,316,6.96,42,13,628248969,13
