intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2
26,5,22044,39178,360591864,360591864,5,-25.31616020202637,-29.70434761047363,3.414587736129761
9,6,22045,5574,360591866,360591866,-9,-3.571800231933594,-4.189438343048096,-0.8719657063484192
31,7,22046,41.05,360591868,360591868,7,-26.43948745727539,-31.00046157836914,5.002736568450928
30,8,22047,6026,360591871,360591871,-7,-3.882020950317383,-4.550084590911865,-0.7343846559524536
9,9,22048,41066,360591873,360591873,9,-26.33111190795898,-30.85157012939453,6.424137592315674
2,10,22048,7.2,360591875,360591875,-5,-4.656328201293945,-5.455714702606201,-0.6275213360786438
19,11,22049,49604,360591878,360591878,11,-31.61687469482422,-37.03168869018555,9.464889526367188
3,12,22050,8.26,360591880,360591880,-3,-5.357089042663574,-6.272345542907715,-0.4322949945926666
19,13,22051,23.53,360591882,360591882,13,-14.89289093017578,-17.43117332458496,5.293098449707031
14,14,22052,9456,360591884,360591884,-1,-6.142754554748535,-7.187160015106201,-0.1650299578905106
10,15,22053,18558,360591887,360591887,15,-11.64891529083252,-13.62467479705811,4.803164005279541
6,1,22061,11678,360591910,360591910,1,-7.600131034851074,-8.864093780517578,0.2038092017173767
9,2,22062,606,360591912,360591912,-13,-0.3844179809093475,-0.4481914341449738,-0.1363203376531601
26,3,22063,13162,360591914,360591914,3,-8.558976173400879,-9.975353240966797,0.6888458728790283
9,4,22063,5426,360591917,360591917,-11,-3.468341588973999,-4.042298316955566,-1.035329580307007
36,5,22064,39.14,360591919,360591919,5,-25.39503860473633,-29.58707237243652,3.411275863647461
6,6,22065,5564,360591921,360591921,-9,-3.579968214035034,-4.169451236724854,-0.8704013824462891
20,7,22066,40692,360591924,360591924,7,-26.31601524353027,-30.63843154907227,4.959107398986816
31,8,22067,6.02,360591926,360591926,-7,-3.893998861312866,-4.531989097595215,-0.7336534261703491
27,9,22068,70102,360591928,360591928,9,-45.13226699829102,-52.5081672668457,10.96636867523193
2,10,22068,7.2,360591931,360591931,-5,-4.675343990325928,-5.439427852630615,-0.6275213360786438
28,11,22069,49666,360591933,360591933,11,-31.78562545776367,-36.96724700927734,9.476719856262207
3,12,22070,8.26,360591935,360591935,-3,-5.378951072692871,-6.253607273101807,-0.4322949945926666
21,13,22071,23514,360591937,360591937,13,-14.94347858428955,-17.36726379394531,5.289499282836914
11,14,22072,9446,360591940,360591940,-1,-6.161282539367676,-7.158095836639404,-0.1648554354906082
12,15,22072,18492,360591942,360591942,15,-11.65244293212891,-13.53765296936035,4.786081790924072
8,1,22081,11728,360591965,360591965,1,-7.663698673248291,-8.875348091125488,0.2046818286180496
8,2,22082,0.63,360591967,360591967,-13,-0.401266485452652,-0.4645437598228455,-0.1417191624641418
21,3,22083,13198,360591970,360591970,3,-8.617249488830566,-9.972618103027344,0.6907299757003784
10,4,22083,5.43,360591972,360591972,-11,-3.484997987747192,-4.033137798309326,-1.036092877388
36,5,22084,39124,360591974,360591974,5,-25.48773956298828,-29.48618698120117,3.409881353378296
9,6,22085,5.53,360591977,360591977,-9,-3.572535514831543,-4.131527900695801,-0.8650825619697571
10,7,22086,40564,360591979,360591979,7,-26.33968925476074,-30.45029830932617,4.943508148193359
30,8,22087,6026,360591981,360591981,-7,-3.913691520690918,-4.522872447967529,-0.7343846559524536
9,9,22088,41334,360591984,360591984,9,-26.71909332275391,-30.86713027954102,6.466062068939209
2,10,22088,7216,360591986,360591986,-5,-4.704734325408936,-5.435126304626465,-0.6289158463478088
9,11,22089,49734,360591988,360591988,11,-31.95816612243652,-36.90653228759766,9.489694595336914
19,13,22091,23526,360591993,360591993,13,-15.01166725158691,-17.32383155822754,5.292198657989502
9,14,22092,9.470000000000001,360591995,360591995,-1,-6.201949119567871,-7.154677867889404,-0.1652742922306061
15,15,22092,18598,360591997,360591997,15,-11.76669216156006,-13.57426357269287,4.813516616821289
12,1,22101,11774,360592021,360592021,1,-7.724812984466553,-8.883249282836914,0.2054846286773682
8,2,22102,0.63,360592024,360592024,-13,-0.4028855860233307,-0.4631402492523193,-0.1417191624641418
30,3,22102,13196,360592026,360592026,3,-8.648961067199707,-9.942480087280273,0.6906252503395081
10,4,22103,5414,360592028,360592028,-11,-3.488744735717773,-4.009100437164307,-1.033039927482605
31,5,22104,39072,360592031,360592031,5,-25.55649757385254,-29.35796737670898,3.405349254608154
9,6,22105,5536,360592033,360592033,-9,-3.590827226638794,-4.123501300811768,-0.8660212159156799
20,7,22106,40896,360592035,360592035,7,-26.66226768493652,-30.60663986206055,4.983968734741211
27,8,22107,6038,360592037,360592037,-7,-3.937280416488647,-4.518162727355957,-0.7358471155166626
19,9,22107,41164,360592040,360592040,9,-26.71099281311035,-30.65176963806152,6.439468383789063
2,10,22108,7236,360592042,360592042,-5,-4.736770153045654,-5.433689117431641,-0.6306589841842651
3,12,22110,8.359999999999999,360592047,360592047,-3,-5.488125324249268,-6.29115629196167,-0.4375285804271698
16,13,22111,23.55,360592049,360592049,13,-15.08742332458496,-17.2889461517334,5.297597408294678
9,14,22112,9.51,360592051,360592051,-1,-6.25318717956543,-7.163114070892334,-0.1659723818302155
8,15,22112,18.55,360592054,360592054,15,-11.78351211547852,-13.49817943572998,4.801093101501465
12,1,22121,11806,360592077,360592077,1,-7.776853561401367,-8.880300521850586,0.2060431092977524
8,2,22122,0.63,360592079,360592079,-13,-0.4044997990131378,-0.4617310762405396,-0.1417191624641418
26,3,22123,13154,360592081,360592081,3,-8.657700538635254,-9.879170417785645,0.6884271502494812
10,4,22123,5422,360592084,360592084,-11,-3.507893562316895,-4.002803802490234,-1.034566402435303
31,5,22124,39052,360592086,360592086,5,-25.64568519592285,-29.25359725952148,3.403606176376343
6,6,22125,5512,360592088,360592088,-9,-3.589569807052612,-4.093119621276855,-0.8622667789459229
10,7,22126,40348,360592090,360592090,7,-26.41024208068848,-30.1045093536377,4.917184352874756
31,8,22127,6.068000000000001,360592093,360592093,-7,-3.972668647766113,-4.526772022247314,-0.7395032048225403
9,9,22128,41266,360592095,360592095,9,-26.88962364196777,-30.62937164306641,6.455424785614014
2,10,22128,7244,360592097,360592097,-5,-4.760965824127197,-5.423110485076904,-0.6313561797142029
3,12,22130,8.460000000000001,360592102,360592102,-3,-5.575962066650391,-6.346984386444092,-0.4427621960639954
19,13,22131,44264,360592104,360592104,13,-28.47120666503906,-32.39669036865234,9.957233428955078
8,14,22132,9544,360592107,360592107,-1,-6.300598621368408,-7.166773796081543,-0.1665657609701157
1,15,22133,18594,360592109,360592109,15,-11.8609733581543,-13.48681449890137,4.81248140335083
16,1,22142,11912,360592132,360592132,1,-7.879465103149414,-8.931212425231934,0.2078930586576462
8,2,22143,662,360592134,360592134,-13,-0.4268212616443634,-0.4836229681968689,-0.1489176005125046
33,3,22143,13.11,360592137,360592137,3,-8.663057327270508,-9.815944671630859,0.6861243844032288
13,4,22144,5432,360592139,360592139,-11,-3.529037952423096,-3.997278690338135,-1.036474466323853
36,5,22145,39.06,360592141,360592141,5,-25.75800895690918,-29.16537857055664,3.404303312301636
4,6,22146,5514,360592143,360592143,-9,-3.605855464935303,-4.081416130065918,-0.8625796437263489
41,7,22147,40888,360592146,360592146,7,-26.87534141540527,-30.40911674499512,4.982993602752686
28,8,22148,6.068000000000001,360592148,360592148,-7,-3.989233255386353,-4.512180805206299,-0.7395032048225403
20,9,22149,42046,360592150,360592150,9,-27.5120849609375,-31.10769271850586,6.577443599700928
2,10,22149,7236,360592153,360592153,-5,-4.775530815124512,-5.399654388427734,-0.6306589841842651
28,13,22152,44172,360592160,360592160,13,-28.53033447265625,-32.22500228881836,9.936537742614746
6,14,22153,9.592000000000001,360592162,360592162,-1,-6.358643531799316,-7.179560661315918,-0.1674034893512726
3,15,22153,18658,360592164,360592164,15,-11.94896602630615,-13.49160861968994,4.82904577255249
25,1,22162,11.98,360592187,360592187,1,-7.955750942230225,-8.954480171203613,0.2090798318386078
8,2,22163,0.63,360592189,360592189,-13,-0.4077934920787811,-0.4588247537612915,-0.1417191624641418
26,3,22163,13002,360592192,360592192,3,-8.62562084197998,-9.70503044128418,0.6804720759391785
13,4,22164,5452,360592194,360592194,-11,-3.5560142993927,-3.999607801437378,-1.040290594100952
31,5,22165,39072,360592196,360592196,5,-25.86760330200195,-29.08422088623047,3.405349254608154
6,6,22166,5.52,360592199,360592199,-9,-3.624019384384155,-4.073232173919678,-0.863518238067627
51,7,22167,40972,360592201,360592201,7,-27.0367546081543,-30.37739753723145,4.993230819702148
37,8,22168,6072,360592203,360592203,-7,-4.007599353790283,-4.501193523406982,-0.7399906516075134
20,9,22169,42048,360592206,360592206,9,-27.62181663513184,-31.01294326782227,6.577756404876709
2,10,22169,7.3,360592208,360592208,-5,-4.83675479888916,-5.430562496185303,-0.6362369060516357
3,12,22171,8388,360592213,360592213,-3,-5.573396682739258,-6.25324535369873,-0.4389939904212952
7,13,22172,12398,360592215,360592215,13,-8.039290428161621,-9.016762733459473,2.788943290710449
6,14,22173,9.662000000000001,360592217,360592217,-1,-6.430252552032471,-7.209553718566895,-0.168625146150589
12,15,22173,12.46,360592219,360592219,15,-8.011041641235352,-8.981922149658203,3.224885225296021
24,1,22182,11.94,360592242,360592242,1,-7.960291862487793,-8.896849632263184,0.2083817273378372
8,2,22183,0.63,360592245,360592245,-13,-0.4093925952911377,-0.4573984742164612,-0.1417191624641418
35,3,22184,13168,360592247,360592247,3,-8.771712303161621,-9.796853065490723,0.6891598701477051
13,4,22184,5.44,360592249,360592249,-11,-3.562096357345581,-3.978394746780396,-1.03800094127655
36,5,22185,39056,360592252,360592252,5,-25.95833396911621,-28.98187637329102,3.403954744338989
3,6,22186,5536,360592254,360592254,-9,-3.64876127243042,-4.07232666015625,-0.8660212159156799
21,7,22187,41278,360592256,360592256,7,-27.3453426361084,-30.50900459289551,5.03052282333374
29,8,22188,6078,360592259,360592259,-7,-4.027262687683105,-4.491611003875732,-0.7407218813896179
26,9,22188,68.95400000000001,360592261,360592261,9,-45.46508026123047,-50.70725631713867,10.78678226470947
2,10,22189,7.3,360592263,360592263,-5,-4.855681419372559,-5.41364574432373,-0.6362369060516357
8,13,22192,12.4,360592270,360592270,13,-8.072017669677734,-8.990095138549805,2.789393186569214
6,14,22193,9.678000000000001,360592272,360592272,-1,-6.466069221496582,-7.198965549468994,-0.1689043939113617
15,15,22194,12.41,360592275,360592275,15,-8.011629104614258,-8.91657543182373,3.211944341659546
27,1,22202,11976,360592298,360592298,1,-8.015393257141113,-8.895750045776367,0.2090100198984146
8,2,22203,0.63,360592300,360592300,-13,-0.4109867215156555,-0.4559666514396667,-0.1417191624641418
42,3,22203,13.3,360592302,360592302,3,-8.892407417297363,-9.865626335144043,0.6960682272911072
13,4,22204,5456,360592305,360592305,-11,-3.586479187011719,-3.977600812911987,-1.041053891181946
36,5,22205,39024,360592307,360592307,5,-26.03799057006836,-28.86741638183594,3.401165723800659
6,6,22206,5564,360592309,360592309,-9,-3.681480646133423,-4.080097675323486,-0.8704013824462891
10,7,22207,40.36,360592312,360592312,7,-26.84116172790527,-29.73698806762695,4.918646812438965
11,8,22208,6.092000000000001,360592314,360592314,-7,-4.052229404449463,-4.487839221954346,-0.7424280643463135
2,10,22209,7.3,360592319,360592319,-5,-4.87454891204834,-5.396663188934326,-0.6362369060516357
6,13,22212,26.24,360592325,360592325,13,-17.14773368835449,-18.9644603729248,5.902715682983398
6,14,22213,9.726000000000001,360592328,360592328,-1,-6.523353099822998,-7.21194314956665,-0.1697421073913574
14,15,22214,12426,360592330,360592330,15,-8.053073883056641,-8.900014877319336,3.216085433959961
21,1,22221,12082,360592353,360592353,1,-8.116053581237793,-8.94762134552002,0.2108599692583084
21,3,22222,13.33,360592358,360592358,3,-8.945205688476563,-9.858269691467285,0.6976382732391357
16,4,22223,5462,360592360,360592360,-11,-3.603608369827271,-3.970046997070313,-1.042198777198792
36,5,22224,38978,360592362,360592362,5,-26.10276985168457,-28.74698638916016,3.397156476974487
9,6,22225,5554,360592365,360592365,-9,-3.688349485397339,-4.060555934906006,-0.8688369989395142
21,7,22226,41418,360592367,360592367,7,-27.64582443237305,-30.42500686645508,5.047584533691406
9,8,22227,6.132000000000001,360592369,360592369,-7,-4.093793869018555,-4.503755569458008,-0.7473028302192688
9,9,22227,41794,360592372,360592372,9,-27.76559448242188,-30.54610443115234,6.538022041320801
