intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,,
99,12,20165,0.5680000000000001,652438560,652438560,-3,-0.2092683464288712,-0.5272068381309509,-0.02972682379186153,,55986
1,13,20166,708,652438562,652438562,13,-0.2546237409114838,-0.6411437392234802,0.1592653393745422,,55988
88,14,20167,556,652438564,652438564,-1,-0.2052774131298065,-0.5166265964508057,-0.009703538380563259,,55990
2,15,20167,672,652438567,652438567,15,-0.2396876066923141,-0.6032275557518005,0.1739263981580734,,55993
17,1,20176,624,652438590,652438590,1,-0.2312937676906586,-0.5794485211372375,0.01089030131697655,,56016
3,5,20179,0.65,652438599,652438599,5,-0.240365594625473,-0.6012611985206604,0.05665123462677002,,56025
14,6,20180,536,652438601,652438601,-9,-0.1966024786233902,-0.4915412664413452,-0.08384887129068375,,56027
31,7,20181,0.67,652438604,652438604,7,-0.2470695674419403,-0.6174054741859436,0.08165246248245239,,56030
10,8,20182,612,652438606,652438606,-7,-0.2257798910140991,-0.5639190077781677,-0.07458403706550598,,56032
44,9,20183,676,652438608,652438608,9,-0.2482784390449524,-0.619799017906189,0.1057496964931488,,56034
86,10,20183,582,652438610,652438610,-5,-0.2155954539775848,-0.5382096171379089,-0.05072464048862457,,56036
53,11,20184,662,652438613,652438613,11,-0.2417498081922531,-0.6031960248947144,0.1263155490159988,,56039
87,12,20185,0.5740000000000001,652438615,652438615,-3,-0.2133373767137527,-0.5320345163345337,-0.03004083968698978,,56041
2,13,20186,0.6900000000000001,652438617,652438617,13,-0.250329852104187,-0.6239734888076782,0.1552162319421768,,56043
88,14,20187,552,652438620,652438620,-1,-0.2055897414684296,-0.512195348739624,-0.009633728303015232,,56046
2,15,20188,0.6880000000000001,652438622,652438622,15,-0.247656375169754,-0.6166865229606628,0.1780675053596497,,56048
25,1,20194,628,652438645,652438645,1,-0.2346073240041733,-0.5824287533760071,0.01096011139452457,,56071
14,6,20198,536,652438657,652438657,-9,-0.1981457322835922,-0.4909211993217468,-0.08384887129068375,,56083
5,7,20199,0.64,652438659,652438659,7,-0.2378583699464798,-0.5890160799026489,0.0779963806271553,,56085
9,8,20200,616,652438661,652438661,-7,-0.2290376275777817,-0.5668880343437195,-0.07507151365280151,,56087
34,9,20200,668,652438663,652438663,9,-0.2471563667058945,-0.6117334961891174,0.1044982224702835,,56089
100,10,20201,0.5720000000000001,652438666,652438666,-5,-0.2135518044233322,-0.528293788433075,-0.04985308647155762,,56092
71,11,20202,674,652438668,652438668,11,-0.2480601072311401,-0.6133537888526917,0.1286052614450455,,56094
79,12,20203,0.55,652438670,652438670,-3,-0.2060178816318512,-0.5091444253921509,-0.02878477610647678,,56096
11,13,20204,676,652438673,652438673,13,-0.2471699863672256,-0.6105396151542664,0.1520669162273407,,56099
79,14,20205,556,652438675,652438675,-1,-0.2086992710828781,-0.5152537822723389,-0.009703538380563259,,56101
2,15,20205,676,652438677,652438677,15,-0.2451335489749908,-0.6052057147026062,0.1749616712331772,,56103
25,1,20214,624,652438700,652438700,1,-0.2351316958665848,-0.5779017806053162,0.01089030131697655,,56126
2,4,20216,538,652438707,652438707,-11,-0.1992021352052689,-0.4891057312488556,-0.1026552394032478,,56133
2,7,20219,676,652438714,652438714,7,-0.2534080743789673,-0.6212674975395203,0.08238367736339569,,56140
22,8,20220,556,652438716,652438716,-7,-0.2085135728120804,-0.5109469294548035,-0.06775935739278793,,56142
52,9,20221,0.6820000000000001,652438719,652438719,9,-0.2546237111091614,-0.6236251592636108,0.1066883057355881,,56145
100,10,20221,0.59,652438721,652438721,-5,-0.222172737121582,-0.5441461801528931,-0.0514218881726265,,56147
56,11,20222,668,652438723,652438723,11,-0.2479722946882248,-0.6070317625999451,0.1274604052305222,,56149
66,12,20223,0.5600000000000001,652438726,652438726,-3,-0.2115719467401505,-0.5176662802696228,-0.0293081346899271,,56152
37,13,20224,672,652438728,652438728,13,-0.2478245049715042,-0.6060656309127808,0.1511671096086502,,56154
86,14,20225,0.5640000000000001,652438730,652438730,-1,-0.2135252952575684,-0.5219253301620483,-0.009843157604336739,,56156
2,15,20226,728,652438733,652438733,15,-0.2663770318031311,-0.6507880687713623,0.1884202659130096,,56159
43,1,20234,628,652438756,652438756,1,-0.2386676967144012,-0.5807767510414124,0.01096011139452457,,56182
2,4,20236,522,652438763,652438763,-11,-0.1949332505464554,-0.4738822877407074,-0.09960229694843292,,56189
21,8,20240,592,652438772,652438772,-7,-0.2239121198654175,-0.5432515144348145,-0.07214665412902832,,56198
16,9,20240,652,652438774,652438774,9,-0.2453989535570145,-0.5953825116157532,0.1019952744245529,,56200
100,10,20241,582,652438776,652438776,-5,-0.2210325598716736,-0.5359996557235718,-0.05072464048862457,,56202
57,11,20242,676,652438779,652438779,11,-0.253084808588028,-0.6134219169616699,0.1289868801832199,,56205
78,12,20243,556,652438781,652438781,-3,-0.2118535190820694,-0.5132322311401367,-0.02909879200160503,,56207
66,13,20244,668,652438783,652438783,13,-0.248450830578804,-0.6015945076942444,0.1502673029899597,,56209
82,14,20245,0.54,652438786,652438786,-1,-0.2061821967363358,-0.4989990890026093,-0.0094242999330163,,56212
2,15,20245,656,652438788,652438788,15,-0.2419753819704056,-0.585625171661377,0.1697852909564972,,56214
49,1,20254,642,652438811,652438811,1,-0.2460592985153198,-0.5928686857223511,0.01120444480329752,,56237
21,8,20260,584,652438827,652438827,-7,-0.2227556109428406,-0.5351359844207764,-0.07117169350385666,,56253
2,9,20260,0.67,652438829,652438829,9,-0.254307895898819,-0.6109354496002197,0.1048110947012901,,56255
100,10,20261,578,652438832,652438832,-5,-0.2213702350854874,-0.5315462946891785,-0.05037602037191391,,56258
42,11,20262,678,652438834,652438834,11,-0.2559796273708344,-0.614346981048584,0.1293684989213943,,56260
76,12,20263,0.5740000000000001,652438836,652438836,-3,-0.2205602675676346,-0.5290809869766235,-0.03004083968698978,,56262
55,13,20264,0.67,652438839,652438839,13,-0.2512994408607483,-0.6025221347808838,0.1507172137498856,,56265
91,14,20265,536,652438841,652438841,-1,-0.2063826024532318,-0.494585394859314,-0.009354489855468273,,56267
11,15,20265,656,652438843,652438843,15,-0.2440181225538254,-0.5847769975662231,0.1697852909564972,,56269
51,1,20276,634,652438866,652438866,1,-0.2452394366264343,-0.5845435857772827,0.01106482557952404,,56292
21,8,20282,588,652438882,652438882,-7,-0.2263485193252563,-0.5379361510276794,-0.07165917754173279,,56308
2,9,20283,0.73,652438885,652438885,9,-0.2797515690326691,-0.6645284295082092,0.1141971573233604,,56311
100,10,20283,0.5760000000000001,652438887,652438887,-5,-0.2226365357637405,-0.528856098651886,-0.05020170658826828,,56313
28,11,20284,0.66,652438889,652438889,11,-0.2514781355857849,-0.5970757007598877,0.1259339302778244,,56315
77,12,20285,0.5660000000000001,652438892,652438892,-3,-0.2194878607988358,-0.5208681225776672,-0.02962215058505535,,56318
55,13,20286,678,652438894,652438894,13,-0.2566392719745636,-0.6087355017662048,0.1525168120861053,,56320
99,14,20287,548,652438896,652438896,-1,-0.2129431366920471,-0.5048443078994751,-0.00956391915678978,,56322
28,15,20287,666,652438898,652438898,15,-0.2500156760215759,-0.5927356481552124,0.1723734885454178,,56324
67,1,20296,636,652438922,652438922,1,-0.2480584383010864,-0.5855252146720886,0.01109973061829805,,56348
