reflectivity,laser_id,azimuth,distance_m,adjustedtime,timestamp,vertical_angle,X,Y,Z
70,10,19934,1.33,268322238,268322238,-5,-0.438784271478653,-1.25017261505127,-0.1159171387553215
59,11,19935,1282,268322240,268322240,11,-0.4169708490371704,-1.187359213829041,0.2446171343326569
58,12,19936,1332,268322242,268322242,-3,-0.4409562647342682,-1.254958868026733,-0.06971149146556854
55,13,19937,1302,268322245,268322245,13,-0.4207629263401031,-1.196820855140686,0.2928862869739532
63,14,19938,1296,268322247,268322247,-1,-0.4299885928630829,-1.222380518913269,-0.02261831797659397
51,15,19939,1.29,268322249,268322249,15,-0.4136823415756226,-1.175369501113892,0.3338765799999237
72,1,19947,1302,268322272,268322272,1,-0.4339077472686768,-1.227359652519226,0.02272303402423859
9,2,19948,594,268322275,268322275,-13,-0.1930088847875595,-0.545645534992218,-0.1336209326982498
62,3,19949,1308,268322277,268322277,3,-0.4358060956001282,-1.231361389160156,0.06845542788505554
8,4,19949,642,268322279,268322279,-11,-0.2102629542350769,-0.5940937399864197,-0.1224993765354156
56,5,19950,1.29,268322281,268322281,5,-0.4289722442626953,-1.211380243301392,0.1124309077858925
7,6,19951,784,268322284,268322284,-9,-0.25860995054245,-0.7298871278762817,-0.1226446181535721
64,7,19952,1286,268322286,268322286,7,-0.4264958500862122,-1.203052282333374,0.1567239761352539
11,8,19953,916,268322288,268322288,-7,-0.303936630487442,-0.8568645119667053,-0.1116323173046112
56,9,19953,1308,268322291,268322291,9,-0.4318814277648926,-1.21756911277771,0.2046162784099579
74,10,19954,1348,268322293,268322293,-5,-0.4491429924964905,-1.26553213596344,-0.1174859404563904
59,11,19955,1294,268322295,268322295,11,-0.4250547587871552,-1.196996808052063,0.2469068467617035
63,12,19956,1336,268322298,268322298,-3,-0.4466715455055237,-1.257176041603088,-0.06992083787918091
52,13,19957,1308,268322300,268322300,13,-0.4268962740898132,-1.20085334777832,0.2942359745502472
64,14,19958,1316,268322302,268322302,-1,-0.440954327583313,-1.239712834358215,-0.02296736650168896
47,15,19958,1.3,268322305,268322305,15,-0.4208147823810577,-1.183091878890991,0.3364647626876831
72,1,19967,1322,268322328,268322328,1,-0.4449204206466675,-1.244667649269104,0.02307208068668842
8,2,19968,642,268322330,268322330,-13,-0.2106628566980362,-0.5890063047409058,-0.1444185823202133
62,3,19969,1308,268322332,268322332,3,-0.440101683139801,-1.229832649230957,0.06845542788505554
10,4,19969,662,268322334,268322334,-11,-0.2189502567052841,-0.6118407845497131,-0.1263155490159988
55,5,19970,1.31,268322337,268322337,5,-0.4399143755435944,-1.228633284568787,0.114174023270607
7,6,19971,796,268322339,268322339,-9,-0.2651534378528595,-0.7401378154754639,-0.1245218366384506
67,7,19972,1302,268322341,268322341,7,-0.436051219701767,-1.216505646705627,0.158673882484436
16,8,19973,0.9,268322344,268322344,-7,-0.3015646636486053,-0.8408498764038086,-0.1096824109554291
61,9,19974,1332,268322346,268322346,9,-0.4443474113941193,-1.238289594650269,0.2083707004785538
70,10,19974,1.37,268322348,268322348,-5,-0.4609600603580475,-1.284584999084473,-0.1194033697247505
59,11,19975,1.31,268322351,268322351,11,-0.434537798166275,-1.210288047790527,0.2499597817659378
67,12,19976,1.35,268322353,268322353,-3,-0.4557838141918182,-1.268766760826111,-0.07065354287624359
51,13,19977,1.32,268322355,268322355,13,-0.4350403547286987,-1.2103590965271,0.2969353795051575
64,14,19978,1332,268322358,268322358,-1,-0.4506927728652954,-1.253219723701477,-0.02324660494923592
45,15,19979,1316,268322360,268322360,15,-0.430380791425705,-1.196083664894104,0.3406058549880981
